procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 16066452 996324 6279784    0    0     0  4132 11425 3604  8  1 91  0  0  0
 2  0      0 16064464 996324 6282304    0    0     0  3976 10424 3031  8  1 91  0  0  0
 2  0      0 16050904 996324 6285332    0    0     0  6352 8527 2448  8  1 91  0  0  0
 2  0      0 16051440 996324 6288664    0    0     0  5208 10786 3151  8  1 91  0  0  0
 2  0      0 16063480 996332 6290664    0    0     0  5052 11231 3775  7  1 91  0  0  0
 2  0      0 16082908 996332 6293268    0    0     0  4836 10357 2733  8  1 91  0  0  0
 2  0      0 16034700 996336 6295392    0    0     0  4244 13546 4705  7  2 91  0  0  0
 1  1      0 16078488 996628 6261560    0    0    64 72467 28120 22415  6  3 90  1  0  0
 0  2      0 16157408 997112 6225868    0    0    64 18426 25540 28926  2  2 91  5  0  0
 0  1      0 16162188 997400 6225908    0    0     0  2590 10675 15010  0  0 95  4  0  0
 0  0      0 16169480 997676 6225948    0    0     0  4839 7228 9692  0  0 97  2  0  0
 0  0      0 16168944 997972 6225992    0    0     0  4416 7184 7572  0  0 98  2  0  0
 0  0      0 16172616 997980 6226024    0    0     0   125 4281 3710  0  0 99  0  0  0
 0  0      0 16187088 997980 6226708    0    0     0     2 2308 1741  0  0 99  0  0  0
 0  0      0 16189660 997980 6226744    0    0     0     0 3060 3458  0  0 99  0  0  0
 0  0      0 16196040 997980 6226776    0    0     0     0 1936 1458  0  0 100  0  0  0
 0  0      0 16203844 997980 6226804    0    0     0     0 1111 1088  0  0 100  0  0  0
 0  1      0 16216112 998384 6226880    0    0     0  4441 4982 6530  0  0 98  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 16215816 999580 6226368    0    0   240 17111 11208 15157  1  1 94  5  0  0
 0  2      0 16216548 1000940 6226568    0    0    16 20095 11954 15807  1  1 92  7  0  0
 0  2      0 16206588 1001844 6226764    0    0   240 14302 10462 14103  1  0 92  7  0  0
